county,MDI rate,Standard Error
21071,0.2660,0.0222
21073,0.1241,0.0196
21075,0.1225,0.0192
21077,0.1123,0.0111
21079,0.1361,0.0228
21081,0.1123,0.0111
21083,0.1225,0.0192
21085,0.1436,0.0191
21087,0.1783,0.0206
21089,0.2533,0.0221
21091,0.1443,0.0217
21093,0.1339,0.0178
21095,0.3254,0.0289
21097,0.1392,0.0185
21099,0.2007,0.0175
21101,0.1060,0.0146
21103,0.0809,0.0141
21105,0.1225,0.0192
21107,0.2058,0.0253
21109,0.3374,0.0308
21111,0.3070,0.0094
21113,0.1361,0.0228
21115,0.2660,0.0222
21117,0.1106,0.0170
21119,0.3105,0.0232
21121,0.3254,0.0289
21123,0.0856,0.0115
21125,0.3374,0.0308
21127,0.2533,0.0221
21129,0.3105,0.0232
21131,0.3105,0.0232
21133,0.3105,0.0232
21135,0.1961,0.0182
21137,0.1361,0.0228
21139,0.2058,0.0253
21141,0.2007,0.0175
21143,0.1725,0.0291
21145,0.1225,0.0192
21147,0.1601,0.0210
21149,0.1060,0.0146
21151,0.1462,0.0213
21153,0.2660,0.0222
21155,0.0856,0.0115
21157,0.1225,0.0192
21159,0.2660,0.0222
